ID,案件名,職種,技術スキル,金額,勤務地,案件概要,開発環境,募集条件
T260116-0001,グループウェア 要件定義～移行要員,システムエンジニア(SE),,850000,豊洲,"グループウェアの要件定義から移行までを担当する要員。初回契約は2026年1月15日から2026年3月31日までの3ヶ月間。就業時間は10:00～18:30。契約形態は準委任契約。単金は850,000円。精算幅は140-180時間（1月は88-113）。超過単価は4,720円（1月は4,730円）、控除単価は6,070円（1月は6,080円）。精算単位は30分。支払いサイトは45日。",,毎月20日前後に見込みでの作業報告書提出が必要。貸与PCより接続された仮想端末からメール送信が可能。現場アカウント発行後、指定メールアドレス（op@gf-design.jp）へのテストメール送信が必要。納品物は作業報告書と経費精算書（発生時のみ）。次回契約更新は契約満了日の1ヶ月前までに通知が必要。通勤交通費（小倉台⇒豊洲）以外の業務交通費・宿泊費等は別途精算。
T260116-0002,【Java】生保システム開発,システムエンジニア(SE),Java,~70万,錦糸町,Javaシステム開発のSE要員募集。要件定義、基本設計～システムテスト。週3日または4日リモート予定。,,"Java システム開発 ＳＥ要員, 生保システム開発経験, 外国籍不可"
T260116-0003,Java/PG/toB向けWeb会員サービス開発,プログラマー(PG),"Java, Struts",550000-650000,虎ノ門,上場企業向けに提供している、BtoBtoCのWeb会員サービスの運用開発となります。PGとして、Javaを使用した開発フェーズをメインにご担当いただきます。,,"Java開発経験（3年以上）, Webアプリケーション開発経験（FW使用）, Struts経験, ECまたはポイントサイト構築経験, リーダー経験, 30代まで, 外国籍不可"
T260116-0004,クラウド構築活動支援,クラウドエンジニア,"Terraform, CloudFormation, AWS, EKS, GCP, GitHub",70-90万,竹芝,大手SIベンダー配下でAWS上にAI実行基盤環境のインフラ設計・構築を行う。GCPとの連携もある。,"Terraform, CloudFormation, AWS, EKS, GCP","AWS EKS経験, GCP開発経験, GitHub, 顧客チームの代表者として、他グループとの打合せ等のリードができる, 3～4割伝えれば10の成果を出せる人"
T260116-0005,小売業向け基幹システム開発,システムエンジニア(SE),"Java, Spring, SQL, Postgres, GeneXus, WEBシステム開発",,フルリモート,小売業向け基幹システム開発。2月～中長期のプロジェクトで、今後PJ拡大していく計画のため長期でご参画いただける方を希望。,"Java, Spring, Postgres",Java（FW：Spring）、SQL（Postgresストアド）の経験。業務要件を確認して設計／製造ができる方。自身でご担当いただいた範囲で顧客との打ち合わせ対応ができる方。コミュニケーション力があり、主体的に行動できる方。尚可：GeneXus、WEBシステム開発経験有（もしくはGeneXusを新たに習得する意欲のある方）、物流業、小売業のご経験者。経験者のみ。PCは所属会社で準備。
T260116-0006,インフラ実践研修「Novasl」,インフラエンジニア,,,,新人インフラエンジニア向け研修サービス「Novasl」。現役インフラエンジニアの講師が実機を用いて実務に沿った内容をご案内。新人エンジニアの即戦力化、現場参画に向けた実績、実践的なスキル習得を支援。,,
T260116-0007,自社ワークフローシステム開発支援,アプリエンジニア,"React Native, AWS, Java",100-110万,リモート,ワークフローシステムの開発、仕様検討、設計、機能追加（フロー作成、チャット、チケット、承認申請機能など）。製品展開するワークフローシステムで、今月末にリリース予定。,"React Native, Java, AWS",有名大学の理系卒で理系の思考回路を持っていてロジカルに考えられる男性。PGレベルや経験年数が短い方は不可。ReactNative開発経験、AWS経験必須。アルゴリズムを理解できる理系出身者のみ対象。リーダー経験、アジャイル開発経験尚可。自走でき、向上心があり、責任感のある方。待ちの姿勢ではなく、自発的に動ける方。コミュニケーションに問題ない方。30代～50代前半の男性。外国籍NG（帰化含む）。
T260116-0008,Calypsoを使用した証券法人領域向け更改プロジェクト,システムエンジニア(SE),"Calypso, 証券業界, 金融業界",150-180万,横浜,Calypsoを使用した証券法人領域向けの更改プロジェクト。1人での提案を想定しており、証券会社の法人領域での更改プロジェクトを担当。,,"Calypso有識者, Calypso開発経験, 証券業界または金融業界でのアサイン経験, 55歳以下, 日本国籍"
T260116-0009,SaaSプロダクト開発におけるQA/QCエンジニア募集案件,QAエンジニア,"QA, QC, テスト設計, テスト自動化, Playwright, 品質改善, アジャイル, クラウド, 英語",70万,西新宿,AI SaaSプロダクトの急成長やエンタープライズ企業へのプロダクト提供に伴い、品質基盤の強化が急務となっており、QA/QCチームを立ち上げることとなりました。これに伴い、テスト基盤の整備をリードできる専門性の高い品質保証エンジニアを募集いたします。プロダクトの品質保証全体戦略を自ら描き、実行していただきます。Playwrightのテストケース作成推進、リグレッションテスト継続最新化（Playwright）、障害に対する再発防止策の立案、実施、組織全体の品質文化を醸成。,"Playwright, アジャイル, クラウド","QAエンジニアとしての実務経験, 品質改善のためのプロセス設計や標準化推進経験, テスト設計およびテスト自動化の経験, テスト基盤の構築運用経験, 大規模サービスのQA経験, アジャイル開発環境でのQA経験, クラウド環境下でのテスト基盤構築経験, 英語ビジネスレベル, 外国籍可(N1以上)"
T260116-0010,アパレルECサイト等の運用ディレクター案件,Webディレクター,"Google Analytics4, SEO",65万,新橋（内幸町）,アパレルECサイト等のディレクション業務をご担当いただきます。メルマガ作成や在庫管理といったオペレーションや、開発管理が主な作業です。レベニューシェアモデルのビジネスであるため、売上の向上をシビアに追求された経験のある方にマッチしております。WebサイトやECサイトの開発・運用、キャンペーンの設定やメルマガ設定、商品登録や在庫管理、返金等のやりとり、企画・提案、クライアント・開発会社・デザイン会社との折衝、Google Analytics4を利用した分析業務,,"アパレルECサイトの運用ディレクター経験, 開発管理の経験, Google Analytics4を利用したECサイト等の分析経験, ディレクター業務を通じて売上の向上を図った実務経験, 開発の経験, SEO関連の実務経験, 希望年齢：40代まで（50代は応相談）, 外国籍：不可"
T260116-0011,ケーブルテレビ基幹システム刷新（運用保守、開発）,バックエンドエンジニア,"Java, Spring Boot, MyBatis, Feign, Resilience4j, Azure, MySQL, Redis, Thymeleaf, JavaScript, JQuery",45万,お台場 週1リモート程度,CATV事業の基幹システムに対するWeb・API・バッチ開発（既存機能の一部改修と新規開発）および運用保守,Java（Spring Boot、MyBatis、Feign、Resilience4j）、Azure（MySQL、Redis）、Thymeleaf、JavaScript（JQuery）,"積極性を持って業務に取り組める力, Java, Spring Boot, 開発経験2年以上程度, 期間: 2月～長期（2年以上を想定）, 募集: 1名, 精算幅: 140～180h, 年齢: 35歳まで, 面談回数: 1回 (Web), 個人不可, 外国籍不可"
T260116-0012,RPA導入支援,システムエンジニア(SE),"Automation Anywhere, Uipath, WinActor","700,000",新宿,中小企業、会計事務所を中心としたRPA導入 ・RPA導入コンサルティング ・RPAロボットの開発の受託 ・RPA運用管理 ・RPA業務効率化コンサルティング を実施していただきます,,"RPA開発経験３年以上, Automation Anywhere or Uipathの経験３年以上（コミュ力あれば２年でも可）, コミュニケーション力を重視します, クライアントは会計事務所が多く、非IT企業の方向けの要件定義経験者優遇, 現場では理解力が求められる為、自頭の良い方が多いです, 外国籍：不可"
T260116-0013,【Java・フルリモート】食品メーカー向け物流システム開発・保守支援,システムエンジニア(SE),"Java, AWS, Python, 基本設計",〜55万,フルリモート,物流システムにおいて、既存システムの保守チームの一員として参画し、追加開発および維持管理業務をご担当いただきます。AWS環境上でのJava（Spring Boot）を中心としたシステム開発となり、安定稼働を前提とした機能追加や改善対応を行います。,"AWS（Lambda）, Java（Spring Boot）, RDB, Python","基本設計の経験, Java開発経験4年以上, AWS環境での開発経験, 首都圏在住者限定, 外国籍不可"
T260116-0014,DBワークフローシステム構築,システムエンジニア(SE),smartDB,,汐留 (リモート併用相談可),DBでのワークフローシステム構築,,smartDBの開発経験半年以上
